yearID,AL,NL
1985,455597.0169491525,500249.3176470588
1986,402337.86734693876,433925.0693641619
1987,441846.58116883115,427857.76802507835
1988,453901.1907514451,452374.17034700315
1989,502052.3617021277,511116.4865671642
1990,500415.81856540084,525913.727735369
1991,908126.7018970189,879587.5474683545
1992,1017651.1160092808,1085608.5562130178
1993,1028575.5833333334,923882.9912087912
1994,1130703.0827586206,971003.2204899777
1995,1039864.5458248473,890698.7373737374
1996,1055235.1798715203,1000406.7262931034
1997,1267829.6471861473,1169651.3779697623
1998,1364396.5622317595,1207658.0319548873
1999,1503986.4458598725,1468880.6242990654
2000,2004401.6701030927,1983096.549107143
2001,2333183.8734491314,2232801.3391684904
2002,2449016.0428211587,2342579.4053452117
2003,2524939.5879265093,2614933.0605381164
2004,2517280.1913265307,2469002.5239179954
2005,2681580.8142493637,2590986.616438356
2006,3088941.970899471,2616445.6961451247
2007,3304390.882951654,2623749.153674833
2008,3449574.2849872774,2870790.4449244062
2009,3380833.0621761656,3184368.693208431
2010,3431360.3903061226,3142161.1689497717
2011,3505557.023076923,3156654.9042316256
2012,3662264.0852130326,3277278.0
2013,3757664.181372549,3688940.2014742014
2014,4031796.3657894735,3934206.1706161136
2015,4386146.543478261,4214089.081885856
2016,4788923.327790974,4013890.4421296297
